task_id,task_description,deadline,priority,assigned_user,user_workload,past_task_behavior,category,status,time_taken_(hours),deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,category_encoded,status_encoded,priority_encoded,is_completed,user_current_load,past_behavior_score,workload,deadline_days,task_description_clean
synthetic_87737,Setup monitoring for production servers.,2025-08-07,Urgent,user8,2.0,On Time,DevOps,To Do,11.090443250925714,,,,,,,,,,,,,setup monitoring production server
T0242,Restore database from backup,2025-08-27,High,User_6,5.0,delayed,Development,Completed,8.9,37.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,21.0,0.3823529411764705,1.3984674329501914,37.0,restore database backup
synthetic_57303,Implement search functionality.,2025-08-17,Urgent,user1,6.0,Needs Improvement,Development,To Do,8.054563674974755,,,,,,,,,,,,,implement search functionality
synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,4.895289600560544,,,,,,,,,,,,,update color palette typography
synthetic_33340,Write API reference documentation.,2025-07-28,Medium,user9,3.0,Late,Documentation,To Do,5.777422838034972,,,,,,,,,,,,,write api reference documentation
synthetic_67902,Redesign profile section layout.,2025-08-05,Urgent,user3,1.0,Late,Design,To Do,7.754884045898051,,,,,,,,,,,,,redesign profile section layout
T0203,Resolve payment gateway timeout issue,2025-09-10,High,User_8,2.0,late,Design,Completed,9.1,51.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.3870967741935484,1.639846743295019,51.0,resolve payment gateway timeout issue
T0262,Patch security vulnerability in auth system,2025-07-29,High,User_9,8.0,late,DevOps,In Progress,0.0,8.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,0.3076923076923077,1.898467432950192,8.0,patch security vulnerability auth system
T0266,Patch security vulnerability in auth system,2025-09-06,High,User_6,5.0,delayed,Design,Completed,5.2,47.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.3823529411764705,2.2375478927203063,47.0,patch security vulnerability auth system
T0213,Resolve payment gateway timeout issue,2025-08-23,High,User_3,8.0,delayed,Testing,Completed,11.3,33.0,5.0,0.0,1.0,5.0,0.0,0.0,1.0,13.0,0.25,1.996168582375479,33.0,resolve payment gateway timeout issue
T0176,Write integration tests for API,2025-08-09,Medium,User_5,10.0,on-time,Management,Pending,0.0,19.0,5.0,0.0,0.0,4.0,2.0,2.0,0.0,20.0,0.3235294117647059,1.9770114942528727,19.0,write integration test api
T0137,Refactor module for scalability,2025-09-08,Medium,User_6,8.0,on-time,Design,Pending,0.0,49.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,21.0,0.3823529411764705,1.9386973180076628,49.0,refactor module scalability
synthetic_28727,Create wireframes for onboarding screens.,2025-08-12,Urgent,user7,5.0,Needs Improvement,Design,To Do,11.273215805906338,,,,,,,,,,,,,create wireframes onboarding screen
synthetic_51187,Write unit tests for payment module.,2025-08-11,Medium,user10,9.0,Excellent,Testing,To Do,4.281703862000476,,,,,,,,,,,,,write unit test payment module
synthetic_32669,Fix bugs in profile update API.,2025-07-24,Urgent,user4,1.0,Needs Improvement,Development,To Do,11.077699779135612,,,,,,,,,,,,,fix bug profile update api
synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,4.895289600560544,,,,,,,,,,,,,update color palette typography
T0080,Update internal documentation,2025-08-19,Low,User_7,8.0,on-time,Management,Pending,0.0,29.0,3.0,0.0,0.0,4.0,2.0,1.0,0.0,20.0,0.3823529411764705,1.260536398467433,29.0,update internal documentation
T0018,Organize shared team files,2025-09-17,Low,User_10,10.0,on-time,Management,Completed,2.4,58.0,4.0,0.0,1.0,4.0,0.0,1.0,1.0,17.0,0.3103448275862069,2.3160919540229883,58.0,organize shared team file
synthetic_21579,Plan sprint retrospective.,2025-08-19,Medium,user8,9.0,On Time,Management,To Do,9.183820464865423,,,,,,,,,,,,,plan sprint retrospective
T0195,Refactor module for scalability,2025-08-26,Medium,User_7,9.0,late,DevOps,Completed,2.0,36.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,20.0,0.3823529411764705,1.825670498084291,36.0,refactor module scalability
T0004,Send status update to manager,2025-07-24,Low,User_8,5.0,delayed,Testing,In Progress,0.0,3.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,15.0,0.3870967741935484,1.1455938697318009,3.0,send status update manager
synthetic_97578,Optimize CI/CD pipeline.,2025-08-02,Medium,user10,4.0,On Time,DevOps,To Do,7.3311823824530205,,,,,,,,,,,,,optimize cicd pipeline
T0070,Update internal documentation,2025-08-06,Low,User_6,6.0,on-time,Management,In Progress,0.0,16.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,21.0,0.3823529411764705,0.814176245210728,16.0,update internal documentation
synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,4.895289600560544,,,,,,,,,,,,,update color palette typography
T0025,Update internal documentation,2025-08-15,Low,User_10,2.0,delayed,Management,Completed,2.8,25.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,17.0,0.3103448275862069,0.524904214559387,25.0,update internal documentation
T0281,Resolve payment gateway timeout issue,2025-07-22,High,User_9,2.0,late,Management,Pending,0.0,1.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,17.0,0.3076923076923077,0.7777777777777777,1.0,resolve payment gateway timeout issue
synthetic_53271,Design UI for dashboard module.,2025-08-10,High,user5,6.0,Needs Improvement,Design,To Do,2.143839229607484,,,,,,,,,,,,,design ui dashboard module
synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,4.895289600560544,,,,,,,,,,,,,update color palette typography
